Week,Room,RoomCluster,ClusterType,RoomType,TreatmentType,Usage,All.Neighbors,Efficient.Neighbors
2017-36,1008A,1008,Double,Double Bedroom,Cluster,1.920591932,1.786478817,1.745370029
2017-36,1008B,1008,Double,Double Bedroom,Cluster,1.920591932,1.786478817,1.745370029
2017-36,1009A,1009,NA,Single Bedroom,Control,1.037208403,NA,NA
2017-36,1009B,1009,NA,Single Bedroom,Control,1.011664573,NA,NA
2017-36,1009C,1009,NA,Single Bedroom,Control,0.917426445,NA,NA
2017-36,1010A,1010,Single,Single Bedroom,Individual,1.074898845,0.99772458,0.936549935
2017-36,1010B,1010,Single,Single Bedroom,Individual,1.138699716,0.997337908,0.936549935
2017-36,1010C,1010,Single,Single Bedroom,Individual,1.007804969,0.998131209,0.936549935
2017-36,1010D,1010,Single,Single Bedroom,Individual,1.120875094,0.997445936,0.936549935
2017-36,1011A,1011,Single,Single Bedroom,Individual,1.002565331,0.998162965,0.936549935
2017-36,1011B,1011,Single,Single Bedroom,Individual,0.935445006,0.998569754,0.936983887
2017-36,1011C,1011,Single,Single Bedroom,Individual,1.022516098,0.998042051,0.936549935
2017-36,1011D,1011,Single,Single Bedroom,Individual,0.937666128,0.998556293,0.936549935
2017-36,1013A,1013,Double,Double Bedroom,Control,0.864926893,NA,NA
2017-36,1013B,1013,Double,Double Bedroom,Control,0.878488337,NA,NA
2017-36,1014A,1014,Double,Double Bedroom,Individual,0.889369267,0.89196428,0.85690727
2017-36,1014B,1014,Double,Double Bedroom,Individual,0.974525384,0.891364589,0.85690727
2017-36,1015A,1015,Double,Double Bedroom,Individual,1.027627392,0.890990632,0.85690727
2017-36,1015B,1015,Double,Double Bedroom,Individual,0.791342259,0.892654611,0.860183476
2017-36,1018A,1018,Double,Double Bedroom,Individual,0.931388714,0.891668369,0.85690727
2017-36,1018B,1018,Double,Double Bedroom,Individual,0.951002667,0.891530242,0.85690727
2017-36,1021A,1021,Single,Single Bedroom,Control,0.978279319,NA,NA
2017-36,1021B,1021,Single,Single Bedroom,Control,1.104061453,NA,NA
2017-36,1021C,1021,Single,Single Bedroom,Control,1.10873329,NA,NA
2017-36,1021D,1021,Single,Single Bedroom,Control,1.034224339,NA,NA
2017-36,1022A,1022,Single,Single Bedroom,Control,1.037308979,NA,NA
2017-36,1022B,1022,Single,Single Bedroom,Control,1.167849099,NA,NA
2017-36,1022C,1022,Single,Single Bedroom,Control,0.935445006,NA,NA
2017-36,1022D,1022,Single,Single Bedroom,Control,0.975624635,NA,NA
2017-36,1023A,1023,Single,Single Bedroom,Individual,1.037208403,0.997953007,0.936549935
2017-36,1023B,1023,Single,Single Bedroom,Individual,0.969849656,0.998361241,0.936549935
2017-36,1023C,1023,Single,Single Bedroom,Individual,1.033545142,0.997975208,0.936549935
2017-36,1023D,1023,Single,Single Bedroom,Individual,1.035938562,0.997960703,0.936549935
2017-36,1024A,1024,NA,Single Bedroom,Control,0.880551204,NA,NA
2017-36,1024B,1024,NA,Single Bedroom,Control,0.969570613,NA,NA
2017-36,1024D,1024,NA,Single Bedroom,Control,0.976082572,NA,NA
2017-36,2007,2007,NA,Single Bedroom,Control,0.936983887,NA,NA
2017-36,2008A,2008,Double,Double Bedroom,Control,0.919931491,NA,NA
2017-36,2008B,2008,Double,Double Bedroom,Control,0.899572624,NA,NA
2017-36,2009A,2009,NA,Single Bedroom,Control,0.940561226,NA,NA
2017-36,2009B,2009,NA,Single Bedroom,Control,0.937852853,NA,NA
2017-36,2009C,2009,NA,Single Bedroom,Control,0.949426855,NA,NA
2017-36,2010A,2010,Single,Single Bedroom,Individual,1.037208403,0.997953007,0.936549935
2017-36,2010B,2010,Single,Single Bedroom,Individual,0.953182276,0.998462256,0.936549935
2017-36,2010C,2010,Single,Single Bedroom,Individual,1.146197333,0.997292468,0.936549935
2017-36,2010D,2010,Single,Single Bedroom,Individual,1.058299581,0.997825181,0.936549935
2017-36,2011A,2011,Single,Single Bedroom,Cluster,3.984705471,3.976530647,3.861108994
2017-36,2011B,2011,Single,Single Bedroom,Cluster,3.984705471,3.976530647,3.861108994
2017-36,2011C,2011,Single,Single Bedroom,Cluster,3.984705471,3.976530647,3.861108994
2017-36,2011D,2011,Single,Single Bedroom,Cluster,3.984705471,3.976530647,3.861108994
2017-36,2013A,2013,Double,Double Bedroom,Cluster,1.821064614,1.788110412,1.745370029
2017-36,2013B,2013,Double,Double Bedroom,Cluster,1.821064614,1.788110412,1.745370029
2017-36,2014A,2014,Double,Double Bedroom,Individual,0.894869139,0.891925549,0.85690727
2017-36,2014B,2014,Double,Double Bedroom,Individual,0.887778159,0.891975485,0.85690727
2017-36,2015A,2015,Double,Double Bedroom,Control,0.933948454,NA,NA
2017-36,2015B,2015,Double,Double Bedroom,Control,0.899815836,NA,NA
2017-36,2018A,2018,Double,Double Bedroom,Cluster,1.796590798,1.788511622,1.745370029
2017-36,2018B,2018,Double,Double Bedroom,Cluster,1.796590798,1.788511622,1.745370029
2017-36,2021A,2021,Single,Single Bedroom,Cluster,3.819262218,3.981867527,3.876159927
2017-36,2021B,2021,Single,Single Bedroom,Cluster,3.819262218,3.981867527,3.876159927
2017-36,2021C,2021,Single,Single Bedroom,Cluster,3.819262218,3.981867527,3.876159927
2017-36,2021D,2021,Single,Single Bedroom,Cluster,3.819262218,3.981867527,3.876159927
2017-36,2022A,2022,Single,Single Bedroom,Cluster,3.62998033,3.987973394,3.876159927
2017-36,2022B,2022,Single,Single Bedroom,Cluster,3.62998033,3.987973394,3.876159927
2017-36,2022C,2022,Single,Single Bedroom,Cluster,3.62998033,3.987973394,3.876159927
2017-36,2022D,2022,Single,Single Bedroom,Cluster,3.62998033,3.987973394,3.876159927
2017-36,2023A,2023,Single,Single Bedroom,Individual,1.021376257,0.998048959,0.936549935
2017-36,2023B,2023,Single,Single Bedroom,Individual,0.879883624,0.99890649,0.936983887
2017-36,2023C,2023,Single,Single Bedroom,Individual,1.332049119,0.996166093,0.936549935
2017-36,2023D,2023,Single,Single Bedroom,Individual,0.861946005,0.999015203,0.936983887
2017-36,2024B,2024,Single,Single Bedroom,Control,0.84778496,NA,NA
2017-36,2024C,2024,Single,Single Bedroom,Control,0.96495199,NA,NA
2017-36,2024D,2024,Single,Single Bedroom,Control,0.861796783,NA,NA
2017-36,2027A,2027,NA,Double Bedroom,Control,0.897816853,NA,NA
2017-36,2029A,2029,Double,Double Bedroom,Cluster,1.678103155,1.790454043,1.747435854
2017-36,2029B,2029,Double,Double Bedroom,Cluster,1.678103155,1.790454043,1.747435854
2017-36,2030A,2030,Double,Double Bedroom,Cluster,1.694906809,1.790178573,1.747435854
2017-36,2030B,2030,Double,Double Bedroom,Cluster,1.694906809,1.790178573,1.747435854
2017-36,2031A,2031,Double,Double Bedroom,Individual,0.892983476,0.891938828,0.85690727
2017-36,2031B,2031,Double,Double Bedroom,Individual,0.787474625,0.892681848,0.860183476
2017-36,2032B,2032,NA,Double Bedroom,Control,0.810181414,NA,NA
2017-36,2036A,2036,NA,Single Bedroom,Individual,0.880551204,0.998902444,0.936983887
2017-36,2036B,2036,NA,Double Bedroom,Individual,0.788416987,0.892675212,0.860183476
2017-36,2037A,2037,Double,Double Bedroom,Control,0.905152044,NA,NA
2017-36,2037B,2037,Double,Double Bedroom,Control,0.890792586,NA,NA
2017-36,2039A,2039,Double,Double Bedroom,Individual,0.894639299,0.891927167,0.85690727
2017-36,2039B,2039,Double,Double Bedroom,Individual,0.876301739,0.892056305,0.85690727
2017-36,2040A,2040,NA,Single Bedroom,Individual,0.93988804,0.998542827,0.936549935
2017-36,2040B,2040,NA,Double Bedroom,Individual,0.932455297,0.891660858,0.85690727
2017-36,2042A,2042,Double,Double Bedroom,Individual,0.892591839,0.891941586,0.85690727
2017-36,2042B,2042,Double,Double Bedroom,Individual,0.887969604,0.891974137,0.85690727
2017-36,3007,3007,NA,Single Bedroom,Control,1.07920764,NA,NA
2017-36,3008A,3008,Double,Double Bedroom,Individual,0.923856956,0.891721409,0.85690727
2017-36,3008B,3008,Double,Double Bedroom,Individual,0.899076212,0.891895922,0.85690727
2017-36,3009A,3009,Single,Single Bedroom,Control,0.978279319,NA,NA
2017-36,3009B,3009,Single,Single Bedroom,Control,1.034916761,NA,NA
2017-36,3009C,3009,Single,Single Bedroom,Control,0.95817628,NA,NA
2017-36,3009D,3009,Single,Single Bedroom,Control,1.005871561,NA,NA
2017-36,3010A,3010,Single,Single Bedroom,Individual,1.005871561,0.998142927,0.936549935
2017-36,3010B,3010,Single,Single Bedroom,Individual,0.945909856,0.998506331,0.936549935
2017-36,3010C,3010,Single,Single Bedroom,Individual,0.996904153,0.998197275,0.936549935
2017-36,3010D,3010,Single,Single Bedroom,Individual,0.968190736,0.998371295,0.936549935
2017-36,3011A,3011,Single,Single Bedroom,Control,1.049019625,NA,NA
2017-36,3011B,3011,Single,Single Bedroom,Control,1.113831476,NA,NA
2017-36,3011C,3011,Single,Single Bedroom,Control,1.054119013,NA,NA
2017-36,3011D,3011,Single,Single Bedroom,Control,0.957473038,NA,NA
2017-36,3013A,3013,Double,Double Bedroom,Control,0.941140177,NA,NA
2017-36,3013B,3013,Double,Double Bedroom,Control,0.910516734,NA,NA
2017-36,3014A,3014,Double,Double Bedroom,Cluster,1.755459862,1.7891859,1.745370029
2017-36,3014B,3014,Double,Double Bedroom,Cluster,1.755459862,1.7891859,1.745370029
2017-36,3015A,3015,Double,Double Bedroom,Control,0.884307381,NA,NA
2017-36,3015B,3015,Double,Double Bedroom,Control,0.903599665,NA,NA
2017-36,3018B,3018,NA,Double Bedroom,Control,0.876349049,NA,NA
2017-36,3021A,3021,NA,Single Bedroom,Control,1.037208403,NA,NA
2017-36,3021B,3021,NA,Single Bedroom,Control,0.943066042,NA,NA
2017-36,3021D,3021,NA,Single Bedroom,Control,0.953636277,NA,NA
2017-36,3022A,3022,Single,Single Bedroom,Control,1.004263925,NA,NA
2017-36,3022B,3022,Single,Single Bedroom,Control,1.038450592,NA,NA
2017-36,3022C,3022,Single,Single Bedroom,Control,0.95817628,NA,NA
2017-36,3022D,3022,Single,Single Bedroom,Control,0.954305856,NA,NA
2017-36,3023A,3023,NA,Single Bedroom,Individual,1.116440476,0.997472812,0.936549935
2017-36,3023B,3023,NA,Single Bedroom,Individual,0.999974365,0.998178667,0.936549935
2017-36,3024A,3024,NA,Single Bedroom,Control,1.071041646,NA,NA
2017-36,3024B,3024,NA,Single Bedroom,Control,0.903764927,NA,NA
2017-36,3024C,3024,NA,Single Bedroom,Control,0.950495867,NA,NA
2017-36,3027B,3027,NA,Double Bedroom,Individual,0.76930124,0.89280983,0.860183476
2017-36,3029A,3029,Double,Double Bedroom,Individual,0.856358948,0.892196747,0.860183476
2017-36,3029B,3029,Double,Double Bedroom,Individual,0.824221474,0.892423068,0.860183476
2017-36,3030A,3030,Double,Double Bedroom,Cluster,1.69140264,1.790236018,1.747435854
2017-36,3030B,3030,Double,Double Bedroom,Cluster,1.69140264,1.790236018,1.747435854
2017-36,3031A,3031,Double,Double Bedroom,Control,0.856212081,NA,NA
2017-36,3031B,3031,Double,Double Bedroom,Control,0.758263589,NA,NA
2017-36,3032B,3032,NA,Double Bedroom,Individual,0.855849781,0.892200333,0.860183476
2017-36,3036A,3036,NA,Single Bedroom,Individual,1.001516689,0.99816932,0.936549935
2017-36,3036B,3036,NA,Double Bedroom,Individual,0.782151553,0.892719335,0.860183476
2017-36,3037A,3037,Double,Double Bedroom,Individual,0.81697199,0.89247412,0.860183476
2017-36,3037B,3037,Double,Double Bedroom,Individual,0.88847928,0.891970548,0.85690727
2017-36,3039A,3039,Double,Double Bedroom,Control,0.929151427,NA,NA
2017-36,3039B,3039,Double,Double Bedroom,Control,0.827285042,NA,NA
2017-36,3040A,3040,NA,Single Bedroom,Control,0.879925703,NA,NA
