room,room_cluster,cluster_type,room_type,simple_room_type,cluster_treatment,individual_treatment,pure_control
2007,2007,NA,Special Unit,Single Bedroom,0,0,1
3007,3007,NA,Special Unit,Single Bedroom,0,0,1
4007,4007,NA,Special Unit,Single Bedroom,0,0,1
5007,5007,NA,Special Unit,Single Bedroom,0,1,0
1008A,1008,Double,Double Bedroom,Double Bedroom,1,0,0
1008B,1008,Double,Double Bedroom,Double Bedroom,1,0,0
1009A,1009,NA,Single Bedroom,Single Bedroom,0,0,1
1009B,1009,NA,Single Bedroom,Single Bedroom,0,0,1
1009C,1009,NA,Single Bedroom,Single Bedroom,0,0,1
1010A,1010,Single,Single Bedroom,Single Bedroom,0,1,0
1010B,1010,Single,Single Bedroom,Single Bedroom,0,1,0
1010C,1010,Single,Single Bedroom,Single Bedroom,0,1,0
1010D,1010,Single,Single Bedroom,Single Bedroom,0,1,0
1011A,1011,Single,RA Bedroom,Single Bedroom,0,1,0
1011B,1011,Single,Single Bedroom,Single Bedroom,0,1,0
1011C,1011,Single,Single Bedroom,Single Bedroom,0,1,0
1011D,1011,Single,Single Bedroom,Single Bedroom,0,1,0
1013A,1013,Double,Double Bedroom,Double Bedroom,0,0,1
1013B,1013,Double,Double Bedroom,Double Bedroom,0,0,1
1014A,1014,Double,Double Bedroom,Double Bedroom,0,1,0
1014B,1014,Double,Double Bedroom,Double Bedroom,0,1,0
1015A,1015,Double,Double Bedroom,Double Bedroom,0,1,0
1015B,1015,Double,Double Bedroom,Double Bedroom,0,1,0
1018A,1018,Double,Double Bedroom,Double Bedroom,0,1,0
1018B,1018,Double,Double Bedroom,Double Bedroom,0,1,0
1021A,1021,Single,Single Bedroom,Single Bedroom,0,0,1
1021B,1021,Single,Single Bedroom,Single Bedroom,0,0,1
1021C,1021,Single,Single Bedroom,Single Bedroom,0,0,1
1021D,1021,Single,Single Bedroom,Single Bedroom,0,0,1
1022A,1022,Single,Single Bedroom,Single Bedroom,0,0,1
1022B,1022,Single,Single Bedroom,Single Bedroom,0,0,1
1022C,1022,Single,Single Bedroom,Single Bedroom,0,0,1
1022D,1022,Single,Single Bedroom,Single Bedroom,0,0,1
1023A,1023,Single,Single Bedroom,Single Bedroom,0,1,0
1023B,1023,Single,Single Bedroom,Single Bedroom,0,1,0
1023C,1023,Single,Single Bedroom,Single Bedroom,0,1,0
1023D,1023,Single,Single Bedroom,Single Bedroom,0,1,0
1024A,1024,Single,Single Bedroom,Single Bedroom,0,0,1
1024B,1024,Single,Single Bedroom,Single Bedroom,0,0,1
1024C,1024,Single,Single Bedroom,Single Bedroom,0,0,1
1024D,1024,Single,Single Bedroom,Single Bedroom,0,0,1
2008A,2008,Double,Double Bedroom,Double Bedroom,0,0,1
2008B,2008,Double,Double Bedroom,Double Bedroom,0,0,1
2009A,2009,NA,Single Bedroom,Single Bedroom,0,0,1
2009B,2009,NA,Single Bedroom,Single Bedroom,0,0,1
2009C,2009,NA,Single Bedroom,Single Bedroom,0,0,1
2010A,2010,Single,Single Bedroom,Single Bedroom,0,1,0
2010B,2010,Single,Single Bedroom,Single Bedroom,0,1,0
2010C,2010,Single,Single Bedroom,Single Bedroom,0,1,0
2010D,2010,Single,Single Bedroom,Single Bedroom,0,1,0
2011A,2011,Single,RA Bedroom,Single Bedroom,1,0,0
2011B,2011,Single,Single Bedroom,Single Bedroom,1,0,0
2011C,2011,Single,Single Bedroom,Single Bedroom,1,0,0
2011D,2011,Single,Single Bedroom,Single Bedroom,1,0,0
2013A,2013,Double,Double Bedroom,Double Bedroom,1,0,0
2013B,2013,Double,Double Bedroom,Double Bedroom,1,0,0
2014A,2014,Double,Double Bedroom,Double Bedroom,0,1,0
2014B,2014,Double,Double Bedroom,Double Bedroom,0,1,0
2015A,2015,Double,Double Bedroom,Double Bedroom,0,0,1
2015B,2015,Double,Double Bedroom,Double Bedroom,0,0,1
2018A,2018,Double,Double Bedroom,Double Bedroom,1,0,0
2018B,2018,Double,Double Bedroom,Double Bedroom,1,0,0
2021A,2021,Single,Single Bedroom,Single Bedroom,1,0,0
2021B,2021,Single,Single Bedroom,Single Bedroom,1,0,0
2021C,2021,Single,Single Bedroom,Single Bedroom,1,0,0
2021D,2021,Single,Single Bedroom,Single Bedroom,1,0,0
2022A,2022,Single,Single Bedroom,Single Bedroom,1,0,0
2022B,2022,Single,Single Bedroom,Single Bedroom,1,0,0
2022C,2022,Single,Single Bedroom,Single Bedroom,1,0,0
2022D,2022,Single,Single Bedroom,Single Bedroom,1,0,0
2023A,2023,Single,Single Bedroom,Single Bedroom,0,1,0
2023B,2023,Single,Single Bedroom,Single Bedroom,0,1,0
2023C,2023,Single,Single Bedroom,Single Bedroom,0,1,0
2023D,2023,Single,Single Bedroom,Single Bedroom,0,1,0
2024A,2024,Single,Single Bedroom,Single Bedroom,0,0,1
2024B,2024,Single,Single Bedroom,Single Bedroom,0,0,1
2024C,2024,Single,Single Bedroom,Single Bedroom,0,0,1
2024D,2024,Single,Single Bedroom,Single Bedroom,0,0,1
2027A,2027,NA,Accessible Double Bedroom,Double Bedroom,0,0,1
2027B,2027,NA,Double Bedroom,Double Bedroom,0,0,1
